,Unnamed: 0_x,cat,text,total_count_x,book_title_x,count_x,Unnamed: 0_y,total_count_y,book_title_y,supersense_category,count_y,_merge
2384,676.0,GPE,FORTUNATUS,1.0,the_fairy_book,1.0,1093,2,the_fairy_book,noun.location,2,both
2385,,,FORTY THIEVES HANSEL,,,,1094,1,the_blue_fairy_book,noun.group,1,right_only
2386,677.0,GPE,FRANCE,1.0,the_fairy_mythology,1.0,1095,1,the_fairy_mythology,noun.location,1,both
2387,679.0,GPE,Fa,20.0,evening_at_home,20.0,1096,21,evening_at_home,noun.group,15,both
2388,679.0,GPE,Fa,20.0,evening_at_home,20.0,1097,21,evening_at_home,noun.location,6,both
2389,681.0,GPE,Faerie,6.0,the_fairy_mythology,4.0,1098,5,the_fairy_mythology,noun.location,3,both
2390,682.0,GPE,Faerie,6.0,the_fairy_mythology_preface,2.0,1098,5,the_fairy_mythology,noun.location,3,both
2391,681.0,GPE,Faerie,6.0,the_fairy_mythology,4.0,1099,5,the_fairy_mythology_preface,noun.location,2,both
2392,682.0,GPE,Faerie,6.0,the_fairy_mythology_preface,2.0,1099,5,the_fairy_mythology_preface,noun.location,2,both
2393,4366.0,LOC,Faerie - land,1.0,the_fairy_mythology,1.0,1100,1,the_fairy_mythology,noun.location,1,both
2394,685.0,GPE,Fai,2.0,the_fairy_mythology,2.0,1101,5,the_fairy_mythology,noun.location,5,both
2395,,,Fair Family,,,,1102,1,the_fairy_mythology,noun.group,1,right_only
2396,,,Fair One,,,,1103,1,the_fairy_book,noun.location,1,right_only
2397,687.0,GPE,Fairy,2.0,the_fairy_mythology,1.0,1104,1,the_violet_fairy_book,noun.location,1,both
2398,688.0,GPE,Fairy,2.0,the_fairy_mythology_preface,1.0,1104,1,the_violet_fairy_book,noun.location,1,both
2399,689.0,GPE,Fairy - land,8.0,the_fairy_mythology,4.0,1105,5,the_fairy_mythology,noun.location,5,both
2400,4368.0,LOC,Fairy - land,8.0,the_fairy_mythology,2.0,1105,5,the_fairy_mythology,noun.location,5,both
2401,4369.0,LOC,Fairy - land,8.0,the_fairy_mythology_preface,2.0,1105,5,the_fairy_mythology,noun.location,5,both
2402,,,Fairy Banquet,,,,1106,1,the_fairy_mythology,noun.location,1,right_only
